Pavarde             Vardas              ND1       ND2       ND3       ND4       ND5       Egzaminas           Galutinis (Vid.)    Galutinis (Med.)    
Pavarde90           Vardas90            3         7         8         9         9         5                   5.9                 6.2                 
Pavarde91           Vardas91            1         5         5         9         10        3                   4.2                 3.8                 
Pavarde92           Vardas92            3         4         9         10        10        10                  8.9                 9.6                 
Pavarde93           Vardas93            1         1         2         6         10        7                   5.8                 5                   
Pavarde94           Vardas94            1         5         5         6         10        4                   4.6                 4.4                 
Pavarde95           Vardas95            2         3         4         4         8         8                   6.5                 6.4                 
Pavarde96           Vardas96            3         3         4         7         8         5                   5                   4.6                 
Pavarde97           Vardas97            2         3         5         8         10        10                  8.2                 8                   
Pavarde98           Vardas98            1         1         3         8         9         2                   3                   2.4                 
Pavarde99           Vardas99            2         3         3         6         9         4                   4.2                 3.6                 
Pavarde100          Vardas100           1         2         2         5         10        8                   6.4                 5.6                 
Pavarde101          Vardas101           1         1         2         3         7         1                   1.7                 1.4                 
Pavarde102          Vardas102           5         6         9         9         10        9                   8.5                 9                   
Pavarde103          Vardas103           2         4         6         10        10        9                   8                   7.8                 
Pavarde104          Vardas104           2         2         6         6         10        6                   5.7                 6                   
Pavarde105          Vardas105           1         4         5         5         7         5                   4.8                 5                   
Pavarde106          Vardas106           2         4         5         8         8         10                  8.2                 8                   
Pavarde107          Vardas107           1         2         2         4         8         7                   5.6                 5                   
Pavarde108          Vardas108           1         1         7         9         10        2                   3.4                 4                   
Pavarde109          Vardas109           2         2         6         7         8         6                   5.6                 6                   
Pavarde110          Vardas110           4         5         7         7         8         2                   3.7                 4                   
Pavarde111          Vardas111           5         5         7         8         9         2                   3.9                 4                   
Pavarde112          Vardas112           4         4         8         8         10        4                   5.1                 5.6                 
Pavarde113          Vardas113           1         4         5         5         8         6                   5.4                 5.6                 
Pavarde114          Vardas114           2         5         5         5         6         6                   5.4                 5.6                 
Pavarde115          Vardas115           2         2         2         5         6         2                   2.6                 2                   
Pavarde116          Vardas116           4         4         7         9         10        4                   5.1                 5.2                 
Pavarde117          Vardas117           2         6         6         9         10        7                   6.8                 6.6                 
Pavarde118          Vardas118           7         7         7         10        10        2                   4.5                 4                   
Pavarde119          Vardas119           1         1         2         4         10        1                   2                   1.4                 
Pavarde120          Vardas120           2         4         4         7         7         8                   6.7                 6.4                 
Pavarde121          Vardas121           3         6         8         9         9         4                   5.2                 5.6                 
Pavarde122          Vardas122           1         1         3         5         6         7                   5.5                 5.4                 
Pavarde123          Vardas123           4         6         6         7         9         9                   8                   7.8                 
Pavarde124          Vardas124           1         2         3         5         7         3                   3.2                 3                   
Pavarde125          Vardas125           1         9         9         10        10        5                   6.1                 6.6                 
Pavarde126          Vardas126           1         4         8         10        10        9                   8                   8.6                 
Pavarde127          Vardas127           1         2         3         8         9         4                   4.2                 3.6                 
Pavarde128          Vardas128           5         5         7         9         10        10                  8.9                 8.8                 
Pavarde129          Vardas129           7         7         8         9         9         5                   6.2                 6.2                 
Pavarde130          Vardas130           1         1         1         3         6         1                   1.6                 1                   
Pavarde131          Vardas131           4         4         5         10        10        1                   3.2                 2.6                 
Pavarde132          Vardas132           1         3         6         8         8         10                  8.1                 8.4                 
Pavarde133          Vardas133           5         7         10        10        10        3                   5.2                 5.8                 
Pavarde134          Vardas134           4         5         6         8         10        4                   5                   4.8                 
Pavarde135          Vardas135           1         5         6         6         10        4                   4.6                 4.8                 
Pavarde136          Vardas136           1         3         4         5         8         3                   3.5                 3.4                 
Pavarde137          Vardas137           1         3         5         7         8         6                   5.5                 5.6                 
Pavarde138          Vardas138           2         6         8         8         10        8                   7.5                 8                   
Pavarde139          Vardas139           5         6         7         8         9         7                   7                   7                   
Pavarde140          Vardas140           2         3         4         4         5         1                   2                   2.2                 
Pavarde141          Vardas141           2         8         10        10        10        10                  9.2                 10                  
Pavarde142          Vardas142           3         4         6         6         7         10                  8.1                 8.4                 
Pavarde143          Vardas143           2         2         7         9         10        7                   6.6                 7                   
Pavarde144          Vardas144           2         4         5         6         7         6                   5.5                 5.6                 
Pavarde145          Vardas145           2         4         4         5         8         5                   4.8                 4.6                 
Pavarde146          Vardas146           1         5         7         10        10        8                   7.4                 7.6                 
Pavarde147          Vardas147           2         2         2         3         4         7                   5.2                 5                   
Pavarde148          Vardas148           5         6         7         8         10        9                   8.3                 8.2                 
Pavarde149          Vardas149           2         3         7         9         10        4                   4.9                 5.2                 
Pavarde150          Vardas150           2         3         4         5         9         1                   2.4                 2.2                 
Pavarde151          Vardas151           1         3         4         6         9         10                  7.8                 7.6                 
Pavarde152          Vardas152           1         4         6         8         10        5                   5.3                 5.4                 
Pavarde153          Vardas153           4         5         8         8         9         7                   6.9                 7.4                 
Pavarde154          Vardas154           1         2         2         5         6         6                   4.9                 4.4                 
Pavarde155          Vardas155           1         2         2         2         9         5                   4.3                 3.8                 
Pavarde156          Vardas156           1         2         3         10        10        10                  8.1                 7.2                 
Pavarde157          Vardas157           1         2         3         9         10        5                   5                   4.2                 
Pavarde158          Vardas158           4         5         8         8         10        3                   4.6                 5                   
Pavarde159          Vardas159           1         5         8         8         10        9                   8                   8.6                 
Pavarde160          Vardas160           2         2         3         9         9         10                  8                   7.2                 
Pavarde161          Vardas161           2         2         6         6         7         10                  7.8                 8.4                 
Pavarde162          Vardas162           3         3         4         9         10        8                   7.1                 6.4                 
Pavarde163          Vardas163           1         2         5         7         10        6                   5.6                 5.6                 
Pavarde164          Vardas164           2         5         5         6         8         1                   2.7                 2.6                 
Pavarde165          Vardas165           1         3         7         8         8         7                   6.4                 7                   
Pavarde166          Vardas166           2         2         7         10        10        3                   4.3                 4.6                 
Pavarde167          Vardas167           5         5         8         9         10        4                   5.4                 5.6                 
Pavarde168          Vardas168           1         2         3         7         8         6                   5.3                 4.8                 
Pavarde169          Vardas169           3         5         6         8         10        4                   5                   4.8                 
Pavarde170          Vardas170           3         4         4         6         7         6                   5.5                 5.2                 
Pavarde171          Vardas171           2         2         3         7         10        6                   5.5                 4.8                 
Pavarde172          Vardas172           3         4         6         7         8         2                   3.4                 3.6                 
Pavarde173          Vardas173           1         2         3         3         4         7                   5.2                 5.4                 
Pavarde174          Vardas174           1         1         5         7         9         9                   7.2                 7.4                 
Pavarde175          Vardas175           1         4         5         7         7         8                   6.7                 6.8                 
Pavarde176          Vardas176           1         1         5         6         8         10                  7.7                 8                   
Pavarde177          Vardas177           4         6         10        10        10        7                   7.4                 8.2                 
Pavarde178          Vardas178           3         3         4         4         5         7                   5.7                 5.8                 
Pavarde179          Vardas179           1         1         3         7         9         1                   2.3                 1.8                 
Pavarde180          Vardas180           2         7         7         8         10        7                   6.9                 7                   
Pavarde181          Vardas181           3         5         7         9         10        5                   5.7                 5.8                 
Pavarde182          Vardas182           1         3         6         6         7         9                   7.2                 7.8                 
Pavarde183          Vardas183           1         1         2         6         8         6                   5                   4.4                 
Pavarde184          Vardas184           2         2         6         7         7         4                   4.3                 4.8                 
Pavarde185          Vardas185           5         5         5         8         10        8                   7.4                 6.8                 
Pavarde186          Vardas186           1         3         5         6         6         7                   5.9                 6.2                 
Pavarde187          Vardas187           1         3         4         8         10        8                   6.9                 6.4                 
Pavarde188          Vardas188           1         6         7         8         9         5                   5.5                 5.8                 
Pavarde189          Vardas189           2         6         7         9         9         4                   5                   5.2                 
Pavarde190          Vardas190           5         7         8         9         10        4                   5.5                 5.6                 
Pavarde191          Vardas191           1         7         9         10        10        10                  9                   9.6                 
Pavarde192          Vardas192           1         2         2         6         7         8                   6.2                 5.6                 
Pavarde193          Vardas193           1         1         3         4         9         10                  7.4                 7.2                 
Pavarde194          Vardas194           1         3         3         6         6         2                   2.7                 2.4                 
Pavarde195          Vardas195           1         3         4         8         10        9                   7.5                 7                   
Pavarde196          Vardas196           1         1         3         8         9         1                   2.4                 1.8                 
Pavarde197          Vardas197           3         7         8         9         10        1                   3.6                 3.8                 
Pavarde198          Vardas198           1         2         3         6         8         8                   6.4                 6                   
Pavarde199          Vardas199           1         3         3         4         9         7                   5.8                 5.4                 
Pavarde200          Vardas200           2         4         4         4         6         5                   4.6                 4.6                 
Pavarde201          Vardas201           4         7         8         9         10        7                   7.2                 7.4                 
Pavarde202          Vardas202           3         3         7         10        10        6                   6.2                 6.4                 
Pavarde203          Vardas203           1         3         4         6         9         9                   7.2                 7                   
Pavarde204          Vardas204           2         4         4         5         10        8                   6.8                 6.4                 
Pavarde205          Vardas205           2         4         4         8         10        8                   7                   6.4                 
Pavarde206          Vardas206           1         3         6         8         9         5                   5.2                 5.4                 
Pavarde207          Vardas207           2         3         9         10        10        10                  8.7                 9.6                 
Pavarde208          Vardas208           1         5         9         10        10        1                   3.4                 4.2                 
Pavarde209          Vardas209           3         4         5         5         9         6                   5.7                 5.6                 
Pavarde210          Vardas210           2         6         8         8         10        8                   7.5                 8                   
Pavarde211          Vardas211           4         7         8         10        10        7                   7.3                 7.4                 
Pavarde212          Vardas212           1         3         4         5         8         1                   2.3                 2.2                 
Pavarde213          Vardas213           5         7         7         9         10        6                   6.6                 6.4                 
Pavarde214          Vardas214           1         5         6         6         7         5                   5                   5.4                 
Pavarde215          Vardas215           2         2         4         8         9         2                   3.2                 2.8                 
Pavarde216          Vardas216           3         4         4         6         6         6                   5.4                 5.2                 
Pavarde217          Vardas217           3         7         9         10        10        1                   3.7                 4.2                 
Pavarde218          Vardas218           4         6         8         9         9         6                   6.5                 6.8                 
Pavarde219          Vardas219           2         2         4         6         6         10                  7.6                 7.6                 
Pavarde220          Vardas220           2         3         5         9         9         6                   5.8                 5.6                 
Pavarde221          Vardas221           5         5         6         6         8         4                   4.8                 4.8                 
Pavarde222          Vardas222           1         1         7         7         8         1                   2.5                 3.4                 
Pavarde223          Vardas223           2         4         6         7         7         8                   6.9                 7.2                 
Pavarde224          Vardas224           1         3         6         7         9         2                   3.3                 3.6                 
Pavarde225          Vardas225           1         2         2         8         10        10                  7.8                 6.8                 
Pavarde226          Vardas226           3         6         6         8         8         6                   6.1                 6                   
Pavarde227          Vardas227           1         1         4         6         8         4                   4                   4                   
Pavarde228          Vardas228           2         5         7         7         7         4                   4.6                 5.2                 
Pavarde229          Vardas229           2         4         5         7         8         7                   6.3                 6.2                 
Pavarde230          Vardas230           1         4         5         8         10        9                   7.6                 7.4                 
Pavarde231          Vardas231           2         3         7         9         10        9                   7.9                 8.2                 
Pavarde232          Vardas232           1         1         2         9         9         8                   6.6                 5.6                 
Pavarde233          Vardas233           4         4         7         9         10        2                   3.9                 4                   
Pavarde234          Vardas234           3         4         4         4         6         8                   6.5                 6.4                 
Pavarde235          Vardas235           1         2         3         4         5         8                   6                   6                   
Pavarde236          Vardas236           2         4         5         6         9         2                   3.3                 3.2                 
Pavarde237          Vardas237           2         2         4         8         8         5                   4.9                 4.6                 
Pavarde238          Vardas238           1         2         3         4         10        1                   2.2                 1.8                 
Pavarde239          Vardas239           4         4         4         5         6         3                   3.6                 3.4                 
Pavarde240          Vardas240           7         9         9         10        10        6                   7.2                 7.2                 
Pavarde241          Vardas241           1         2         3         4         8         7                   5.6                 5.4                 
Pavarde242          Vardas242           2         4         6         6         10        1                   2.8                 3                   
Pavarde243          Vardas243           1         3         6         7         9         9                   7.5                 7.8                 
Pavarde244          Vardas244           1         2         4         5         7         7                   5.7                 5.8                 
Pavarde245          Vardas245           1         3         7         9         9         1                   2.9                 3.4                 
Pavarde246          Vardas246           3         6         6         7         9         1                   3.1                 3                   
Pavarde247          Vardas247           4         5         7         7         8         9                   7.9                 8.2                 
Pavarde248          Vardas248           5         6         7         7         9         10                  8.7                 8.8                 
Pavarde249          Vardas249           2         3         6         6         6         7                   6                   6.6                 
Pavarde250          Vardas250           2         4         5         6         8         10                  8                   8                   
Pavarde251          Vardas251           2         2         4         4         7         8                   6.3                 6.4                 
Pavarde252          Vardas252           3         3         6         8         10        9                   7.8                 7.8                 
Pavarde253          Vardas253           6         8         9         10        10        10                  9.4                 9.6                 
Pavarde254          Vardas254           1         1         4         7         10        1                   2.4                 2.2                 
Pavarde255          Vardas255           2         5         9         9         10        7                   7                   7.8                 
Pavarde256          Vardas256           2         5         5         7         9         10                  8.2                 8                   
Pavarde257          Vardas257           3         6         7         8         9         9                   8                   8.2                 
Pavarde258          Vardas258           1         6         7         10        10        10                  8.7                 8.8                 
Pavarde259          Vardas259           1         1         3         4         9         7                   5.6                 5.4                 
Pavarde260          Vardas260           2         3         6         7         8         8                   6.9                 7.2                 
Pavarde261          Vardas261           3         3         6         8         10        1                   3                   3                   
Pavarde262          Vardas262           1         1         6         10        10        8                   7                   7.2                 
Pavarde263          Vardas263           2         3         5         6         10        9                   7.5                 7.4                 
Pavarde264          Vardas264           1         5         6         7         10        10                  8.3                 8.4                 
Pavarde265          Vardas265           4         5         5         8         8         2                   3.6                 3.2                 
Pavarde266          Vardas266           2         3         6         9         10        1                   3                   3                   
Pavarde267          Vardas267           2         7         8         8         9         2                   3.9                 4.4                 
Pavarde268          Vardas268           2         4         4         5         7         7                   6                   5.8                 
Pavarde269          Vardas269           2         4         6         8         8         5                   5.2                 5.4                 
Pavarde270          Vardas270           1         3         3         4         6         2                   2.6                 2.4                 
Pavarde271          Vardas271           1         4         4         5         8         1                   2.4                 2.2                 
Pavarde272          Vardas272           3         5         6         6         9         3                   4.1                 4.2                 
Pavarde273          Vardas273           2         3         6         6         8         10                  8                   8.4                 
Pavarde274          Vardas274           6         8         10        10        10        8                   8.3                 8.8                 
Pavarde275          Vardas275           5         5         6         7         10        5                   5.6                 5.4                 
Pavarde276          Vardas276           5         6         8         8         10        6                   6.6                 6.8                 
Pavarde277          Vardas277           2         2         2         7         9         9                   7.2                 6.2                 
Pavarde278          Vardas278           1         5         9         9         10        7                   6.9                 7.8                 
Pavarde279          Vardas279           2         2         7         8         9         8                   7                   7.6                 
Pavarde280          Vardas280           2         4         5         9         10        3                   4.2                 3.8                 
Pavarde281          Vardas281           1         1         1         8         8         5                   4.5                 3.4                 
Pavarde282          Vardas282           3         5         5         9         10        4                   5                   4.4                 
Pavarde283          Vardas283           1         4         5         5         8         3                   3.6                 3.8                 
Pavarde284          Vardas284           1         1         2         8         9         9                   7.1                 6.2                 
Pavarde285          Vardas285           1         1         2         4         10        6                   5                   4.4                 
Pavarde286          Vardas286           2         8         9         9         9         1                   3.6                 4.2                 
Pavarde287          Vardas287           1         3         4         4         8         3                   3.4                 3.4                 
Pavarde288          Vardas288           1         4         5         7         8         4                   4.4                 4.4                 
Pavarde289          Vardas289           2         4         8         9         10        1                   3.2                 3.8                 
Pavarde290          Vardas290           2         5         5         6         9         10                  8.2                 8                   
Pavarde291          Vardas291           1         2         3         4         6         9                   6.7                 6.6                 
Pavarde292          Vardas292           2         5         5         7         10        7                   6.5                 6.2                 
Pavarde293          Vardas293           4         5         5         8         8         4                   4.8                 4.4                 
Pavarde294          Vardas294           2         4         5         6         10        9                   7.6                 7.4                 
Pavarde295          Vardas295           3         6         6         8         9         7                   6.8                 6.6                 
Pavarde296          Vardas296           2         2         5         6         9         9                   7.3                 7.4                 
Pavarde297          Vardas297           1         1         7         7         10        1                   2.7                 3.4                 
Pavarde298          Vardas298           1         4         5         6         9         4                   4.4                 4.4                 
Pavarde299          Vardas299           1         3         6         9         10        4                   4.7                 4.8                 
Pavarde300          Vardas300           1         3         5         7         9         5                   5                   5                   
Pavarde301          Vardas301           4         5         7         8         9         2                   3.8                 4                   
Pavarde302          Vardas302           4         5         5         9         9         4                   5                   4.4                 
Pavarde303          Vardas303           2         4         7         9         10        10                  8.6                 8.8                 
Pavarde304          Vardas304           1         1         2         2         6         4                   3.4                 3.2                 
Pavarde305          Vardas305           5         6         7         7         10        4                   5.2                 5.2                 
Pavarde306          Vardas306           1         3         5         9         9         2                   3.4                 3.2                 
Pavarde307          Vardas307           1         2         2         4         8         5                   4.4                 3.8                 
Pavarde308          Vardas308           1         4         5         6         7         8                   6.6                 6.8                 
Pavarde309          Vardas309           4         6         7         8         10        10                  8.8                 8.8                 
Pavarde310          Vardas310           2         4         5         6         7         7                   6.1                 6.2                 
Pavarde311          Vardas311           2         2         6         7         8         2                   3.2                 3.6                 
Pavarde312          Vardas312           2         4         4         4         8         10                  7.8                 7.6                 
Pavarde313          Vardas313           2         5         7         7         9         9                   7.8                 8.2                 
Pavarde314          Vardas314           2         7         9         10        10        4                   5.4                 6                   
Pavarde315          Vardas315           1         3         3         10        10        10                  8.2                 7.2                 
Pavarde316          Vardas316           2         5         5         6         8         7                   6.3                 6.2                 
Pavarde317          Vardas317           5         5         5         10        10        2                   4                   3.2                 
Pavarde318          Vardas318           2         2         7         8         10        5                   5.3                 5.8                 
Pavarde319          Vardas319           2         5         5         8         10        10                  8.4                 8                   
Pavarde320          Vardas320           2         3         5         8         10        6                   5.8                 5.6                 
Pavarde321          Vardas321           2         2         3         3         6         2                   2.5                 2.4                 
Pavarde322          Vardas322           2         5         5         5         8         6                   5.6                 5.6                 
Pavarde323          Vardas323           6         7         8         10        10        1                   3.9                 3.8                 
Pavarde324          Vardas324           1         3         6         8         8         7                   6.3                 6.6                 
Pavarde325          Vardas325           3         7         8         8         10        8                   7.7                 8                   
Pavarde326          Vardas326           1         1         4         6         8         7                   5.8                 5.8                 
Pavarde327          Vardas327           3         5         7         8         9         4                   5                   5.2                 
Pavarde328          Vardas328           2         3         5         9         10        4                   4.7                 4.4                 
Pavarde329          Vardas329           1         3         4         4         4         1                   1.9                 2.2                 
Pavarde330          Vardas330           1         4         5         8         10        10                  8.2                 8                   
Pavarde331          Vardas331           3         5         6         7         8         2                   3.5                 3.6                 
Pavarde332          Vardas332           2         5         8         9         9         8                   7.4                 8                   
Pavarde333          Vardas333           4         4         5         6         7         4                   4.5                 4.4                 
Pavarde334          Vardas334           2         3         3         6         6         7                   5.8                 5.4                 
Pavarde335          Vardas335           4         5         7         9         10        3                   4.6                 4.6                 
Pavarde336          Vardas336           1         6         6         9         9         2                   3.7                 3.6                 
Pavarde337          Vardas337           3         5         8         8         10        9                   8.1                 8.6                 
Pavarde338          Vardas338           4         5         8         9         10        1                   3.5                 3.8                 
Pavarde339          Vardas339           1         1         7         9         9         3                   4                   4.6                 
Pavarde340          Vardas340           1         2         3         3         7         8                   6.1                 6                   
Pavarde341          Vardas341           4         6         6         7         7         4                   4.8                 4.8                 
Pavarde342          Vardas342           2         5         7         7         8         1                   2.9                 3.4                 
Pavarde343          Vardas343           1         2         2         4         5         10                  7.1                 6.8                 
Pavarde344          Vardas344           2         4         7         7         9         7                   6.5                 7                   
Pavarde345          Vardas345           1         2         4         5         9         8                   6.5                 6.4                 
Pavarde346          Vardas346           1         2         6         8         8         7                   6.2                 6.6                 
Pavarde347          Vardas347           4         6         6         7         10        2                   3.8                 3.6                 
Pavarde348          Vardas348           2         2         6         7         10        6                   5.8                 6                   
Pavarde349          Vardas349           1         6         9         9         10        1                   3.4                 4.2                 
Pavarde350          Vardas350           1         6         7         8         8         3                   4.2                 4.6                 
Pavarde351          Vardas351           1         2         4         4         5         8                   6.1                 6.4                 
Pavarde352          Vardas352           4         4         8         9         10        3                   4.6                 5                   
Pavarde353          Vardas353           4         6         6         8         8         10                  8.6                 8.4                 
Pavarde354          Vardas354           4         7         7         10        10        10                  9                   8.8                 
Pavarde355          Vardas355           2         4         8         9         10        7                   6.8                 7.4                 
Pavarde356          Vardas356           3         4         6         7         8         9                   7.6                 7.8                 
Pavarde357          Vardas357           1         2         3         8         9         4                   4.2                 3.6                 
Pavarde358          Vardas358           4         5         6         9         10        2                   3.9                 3.6                 
Pavarde359          Vardas359           2         3         4         6         7         6                   5.4                 5.2                 
Pavarde360          Vardas360           2         6         8         10        10        10                  8.9                 9.2                 
Pavarde361          Vardas361           1         2         6         10        10        6                   5.9                 6                   
Pavarde362          Vardas362           2         3         4         6         10        3                   3.8                 3.4                 
Pavarde363          Vardas363           2         6         8         8         9         10                  8.6                 9.2                 
Pavarde364          Vardas364           2         4         6         10        10        2                   3.8                 3.6                 
Pavarde365          Vardas365           2         3         4         5         10        9                   7.3                 7                   
Pavarde366          Vardas366           2         2         5         7         9         6                   5.6                 5.6                 
Pavarde367          Vardas367           2         4         6         7         10        2                   3.5                 3.6                 
Pavarde368          Vardas368           2         4         5         5         9         6                   5.6                 5.6                 
Pavarde369          Vardas369           1         2         4         6         7         8                   6.4                 6.4                 
Pavarde370          Vardas370           1         1         2         6         8         8                   6.2                 5.6                 
Pavarde371          Vardas371           2         4         7         9         10        9                   8                   8.2                 
Pavarde372          Vardas372           1         2         4         6         6         4                   3.9                 4                   
Pavarde373          Vardas373           1         3         5         7         9         10                  8                   8                   
Pavarde374          Vardas374           2         3         3         4         10        4                   4.2                 3.6                 
Pavarde375          Vardas375           4         4         5         6         10        9                   7.7                 7.4                 
Pavarde376          Vardas376           1         1         2         3         5         9                   6.4                 6.2                 
Pavarde377          Vardas377           2         2         5         7         10        8                   6.9                 6.8                 
Pavarde378          Vardas378           3         8         9         9         10        6                   6.7                 7.2                 
Pavarde379          Vardas379           4         6         6         7         10        1                   3.2                 3                   
Pavarde380          Vardas380           1         2         4         6         7         4                   4                   4                   
Pavarde381          Vardas381           2         4         5         7         10        7                   6.4                 6.2                 
