Pavarde             Vardas              	ND1	ND2	ND3	ND4	Egzaminas	Galutinis(Vid/Med)
Pavarde450          Vardas450           	1	3	1	2	4	3.1
Pavarde322          Vardas322           	9	10	5	1	1	3.1
Pavarde307          Vardas307           	3	6	8	8	1	3.1
Pavarde290          Vardas290           	9	4	10	2	1	3.1
Pavarde998          Vardas998           	4	6	7	8	1	3.1
Pavarde559          Vardas559           	1	1	1	4	4	3.1
Pavarde568          Vardas568           	2	9	9	5	1	3.1
Pavarde146          Vardas146           	10	4	1	10	1	3.1
Pavarde851          Vardas851           	8	1	1	3	3	3.1
Pavarde729          Vardas729           	10	4	3	8	1	3.1
Pavarde486          Vardas486           	3	6	8	2	2	3.1
Pavarde212          Vardas212           	7	8	1	9	1	3.1
Pavarde735          Vardas735           	2	9	3	5	2	3.1
Pavarde1000         Vardas1000          	6	10	3	6	1	3.1
Pavarde177          Vardas177           	2	5	9	3	2	3.1
Pavarde56           Vardas56            	1	6	6	7	2	3.2
Pavarde840          Vardas840           	7	9	1	3	2	3.2
Pavarde607          Vardas607           	6	9	7	4	1	3.2
Pavarde567          Vardas567           	8	7	8	3	1	3.2
Pavarde557          Vardas557           	1	2	4	7	3	3.2
Pavarde637          Vardas637           	7	1	3	9	2	3.2
Pavarde300          Vardas300           	3	3	6	2	3	3.2
Pavarde958          Vardas958           	7	1	5	1	3	3.2
Pavarde75           Vardas75            	5	2	5	2	3	3.2
Pavarde410          Vardas410           	9	1	5	6	2	3.3
Pavarde755          Vardas755           	9	10	5	3	1	3.3
Pavarde90           Vardas90            	5	10	10	2	1	3.3
Pavarde580          Vardas580           	9	2	8	2	2	3.3
Pavarde659          Vardas659           	8	6	5	8	1	3.3
Pavarde775          Vardas775           	10	4	7	6	1	3.3
Pavarde776          Vardas776           	2	9	3	1	3	3.3
Pavarde156          Vardas156           	8	2	9	2	2	3.3
Pavarde571          Vardas571           	1	5	6	9	2	3.3
Pavarde513          Vardas513           	2	6	9	4	2	3.3
Pavarde477          Vardas477           	4	7	5	5	2	3.3
Pavarde208          Vardas208           	9	2	8	2	2	3.3
Pavarde429          Vardas429           	9	2	3	1	3	3.3
Pavarde900          Vardas900           	7	5	7	2	2	3.3
Pavarde876          Vardas876           	6	9	5	7	1	3.3
Pavarde785          Vardas785           	9	9	2	1	2	3.3
Pavarde105          Vardas105           	5	5	8	10	1	3.4
Pavarde859          Vardas859           	8	8	7	5	1	3.4
Pavarde402          Vardas402           	1	4	8	9	2	3.4
Pavarde653          Vardas653           	10	7	3	2	2	3.4
Pavarde751          Vardas751           	7	8	6	1	2	3.4
Pavarde414          Vardas414           	9	3	6	4	2	3.4
Pavarde183          Vardas183           	8	6	6	2	2	3.4
Pavarde16           Vardas16            	4	8	5	5	2	3.4
Pavarde901          Vardas901           	3	4	8	1	3	3.4
Pavarde845          Vardas845           	7	7	6	8	1	3.4
Pavarde241          Vardas241           	10	7	5	6	1	3.4
Pavarde332          Vardas332           	10	5	3	10	1	3.4
Pavarde377          Vardas377           	5	9	4	10	1	3.4
Pavarde828          Vardas828           	8	5	7	2	2	3.4
Pavarde115          Vardas115           	10	9	1	8	1	3.4
Pavarde795          Vardas795           	1	5	3	1	4	3.4
Pavarde601          Vardas601           	2	2	2	10	3	3.4
Pavarde521          Vardas521           	5	3	2	6	3	3.4
Pavarde814          Vardas814           	2	8	4	2	3	3.4
Pavarde286          Vardas286           	2	9	10	2	2	3.5
Pavarde274          Vardas274           	4	4	6	9	2	3.5
Pavarde537          Vardas537           	2	1	10	10	2	3.5
Pavarde351          Vardas351           	2	2	6	7	3	3.5
Pavarde816          Vardas816           	3	9	6	5	2	3.5
Pavarde179          Vardas179           	3	3	4	1	4	3.5
Pavarde522          Vardas522           	7	2	6	2	3	3.5
Pavarde616          Vardas616           	3	2	9	3	3	3.5
Pavarde934          Vardas934           	1	5	1	10	3	3.5
Pavarde511          Vardas511           	1	2	1	7	4	3.5
Pavarde505          Vardas505           	9	7	3	4	2	3.5
Pavarde941          Vardas941           	7	1	7	8	2	3.5
Pavarde59           Vardas59            	5	6	8	10	1	3.5
Pavarde380          Vardas380           	5	4	4	4	3	3.5
Pavarde117          Vardas117           	7	2	10	4	2	3.5
Pavarde648          Vardas648           	3	5	7	2	3	3.5
Pavarde827          Vardas827           	3	4	8	8	2	3.5
Pavarde321          Vardas321           	2	2	3	5	4	3.6
Pavarde462          Vardas462           	1	4	6	1	4	3.6
Pavarde125          Vardas125           	1	9	9	5	2	3.6
Pavarde293          Vardas293           	7	5	7	5	2	3.6
Pavarde879          Vardas879           	5	7	6	6	2	3.6
Pavarde833          Vardas833           	6	10	5	3	2	3.6
Pavarde231          Vardas231           	4	9	3	8	2	3.6
Pavarde881          Vardas881           	10	1	10	3	2	3.6
Pavarde319          Vardas319           	4	7	10	9	1	3.6
Pavarde38           Vardas38            	1	8	7	2	3	3.6
Pavarde382          Vardas382           	3	6	8	1	3	3.6
Pavarde798          Vardas798           	5	2	8	3	3	3.6
Pavarde938          Vardas938           	3	8	6	1	3	3.6
Pavarde947          Vardas947           	8	9	4	9	1	3.6
Pavarde543          Vardas543           	5	3	6	5	3	3.7
Pavarde310          Vardas310           	9	5	3	8	2	3.7
Pavarde132          Vardas132           	10	10	3	2	2	3.7
Pavarde874          Vardas874           	4	7	3	5	3	3.7
Pavarde930          Vardas930           	2	10	5	2	3	3.7
Pavarde972          Vardas972           	3	9	6	1	3	3.7
Pavarde742          Vardas742           	1	5	5	8	3	3.7
Pavarde305          Vardas305           	3	5	8	3	3	3.7
Pavarde649          Vardas649           	10	10	3	8	1	3.7
Pavarde82           Vardas82            	5	7	6	7	2	3.7
Pavarde288          Vardas288           	3	8	8	6	2	3.7
Pavarde996          Vardas996           	6	10	8	1	2	3.7
Pavarde487          Vardas487           	3	3	4	3	4	3.7
Pavarde632          Vardas632           	5	9	7	4	2	3.7
Pavarde24           Vardas24            	7	9	3	6	2	3.7
Pavarde369          Vardas369           	4	8	10	9	1	3.7
Pavarde846          Vardas846           	1	3	5	10	3	3.7
Pavarde97           Vardas97            	4	8	3	5	3	3.8
Pavarde151          Vardas151           	5	9	3	9	2	3.8
Pavarde867          Vardas867           	10	9	4	3	2	3.8
Pavarde439          Vardas439           	4	4	5	7	3	3.8
Pavarde106          Vardas106           	2	2	1	3	5	3.8
Pavarde278          Vardas278           	1	10	2	1	4	3.8
Pavarde936          Vardas936           	10	10	5	7	1	3.8
Pavarde325          Vardas325           	3	7	9	1	3	3.8
Pavarde192          Vardas192           	4	5	5	6	3	3.8
Pavarde339          Vardas339           	5	10	5	6	2	3.8
Pavarde677          Vardas677           	9	9	7	7	1	3.8
Pavarde935          Vardas935           	8	8	10	7	1	3.9
Pavarde150          Vardas150           	9	8	2	8	2	3.9
Pavarde301          Vardas301           	7	7	6	1	3	3.9
Pavarde720          Vardas720           	9	8	6	4	2	3.9
Pavarde469          Vardas469           	1	8	10	2	3	3.9
Pavarde550          Vardas550           	1	2	9	9	3	3.9
Pavarde257          Vardas257           	5	8	5	9	2	3.9
Pavarde172          Vardas172           	3	5	5	2	4	3.9
Pavarde104          Vardas104           	3	10	10	10	1	3.9
Pavarde333          Vardas333           	9	3	6	3	3	3.9
Pavarde209          Vardas209           	7	9	2	3	3	3.9
Pavarde110          Vardas110           	1	1	4	3	5	3.9
Pavarde535          Vardas535           	9	2	5	5	3	3.9
Pavarde534          Vardas534           	2	4	3	6	4	3.9
Pavarde882          Vardas882           	7	4	3	7	3	3.9
Pavarde30           Vardas30            	7	6	5	4	3	4
Pavarde838          Vardas838           	1	2	2	5	5	4
Pavarde247          Vardas247           	10	10	1	7	2	4
Pavarde493          Vardas493           	2	10	7	3	3	4
Pavarde17           Vardas17            	5	10	1	6	3	4
Pavarde398          Vardas398           	2	9	3	8	3	4
Pavarde287          Vardas287           	2	5	2	7	4	4
Pavarde764          Vardas764           	6	8	4	10	2	4
Pavarde928          Vardas928           	6	2	4	10	3	4
Pavarde542          Vardas542           	6	8	2	7	3	4.1
Pavarde715          Vardas715           	8	10	4	1	3	4.1
Pavarde372          Vardas372           	2	8	4	9	3	4.1
Pavarde32           Vardas32            	2	1	10	4	4	4.1
Pavarde292          Vardas292           	10	1	10	8	2	4.1
Pavarde7            Vardas7             	2	3	3	3	5	4.1
Pavarde337          Vardas337           	9	8	5	1	3	4.1
Pavarde328          Vardas328           	8	9	8	4	2	4.1
Pavarde779          Vardas779           	8	10	3	8	2	4.1
Pavarde255          Vardas255           	6	1	2	2	5	4.1
Pavarde252          Vardas252           	5	3	8	7	3	4.1
Pavarde167          Vardas167           	10	8	8	9	1	4.1
Pavarde986          Vardas986           	2	4	9	2	4	4.1
Pavarde463          Vardas463           	4	8	7	10	2	4.1
Pavarde248          Vardas248           	7	3	2	5	4	4.1
Pavarde767          Vardas767           	7	9	6	8	2	4.2
Pavarde253          Vardas253           	3	1	8	6	4	4.2
Pavarde808          Vardas808           	3	10	4	7	3	4.2
Pavarde284          Vardas284           	10	6	9	5	2	4.2
Pavarde908          Vardas908           	6	8	2	8	3	4.2
Pavarde440          Vardas440           	9	8	5	8	2	4.2
Pavarde314          Vardas314           	5	1	3	3	5	4.2
Pavarde803          Vardas803           	9	5	10	6	2	4.2
Pavarde215          Vardas215           	3	9	7	5	3	4.2
Pavarde324          Vardas324           	5	3	7	9	3	4.2
Pavarde330          Vardas330           	10	6	6	2	3	4.2
Pavarde340          Vardas340           	1	4	3	10	4	4.2
Pavarde676          Vardas676           	1	9	4	4	4	4.2
Pavarde13           Vardas13            	2	4	5	7	4	4.2
Pavarde916          Vardas916           	3	4	3	2	5	4.2
Pavarde191          Vardas191           	5	3	7	9	3	4.2
Pavarde69           Vardas69            	7	7	7	3	3	4.2
Pavarde708          Vardas708           	10	2	3	9	3	4.2
Pavarde912          Vardas912           	5	5	5	3	4	4.2
Pavarde5            Vardas5             	1	3	7	1	5	4.2
Pavarde98           Vardas98            	1	7	1	9	4	4.2
Pavarde270          Vardas270           	7	9	6	2	3	4.2
Pavarde298          Vardas298           	4	1	4	4	5	4.3
Pavarde163          Vardas163           	7	6	3	3	4	4.3
Pavarde756          Vardas756           	9	9	10	9	1	4.3
Pavarde569          Vardas569           	4	10	7	4	3	4.3
Pavarde899          Vardas899           	9	1	7	2	4	4.3
Pavarde995          Vardas995           	4	9	9	9	2	4.3
Pavarde987          Vardas987           	8	9	2	6	3	4.3
Pavarde408          Vardas408           	6	5	5	3	4	4.3
Pavarde15           Vardas15            	8	4	7	6	3	4.3
Pavarde194          Vardas194           	5	3	2	9	4	4.3
Pavarde716          Vardas716           	6	1	5	7	4	4.3
Pavarde452          Vardas452           	1	9	10	5	3	4.3
Pavarde684          Vardas684           	4	2	10	9	3	4.3
Pavarde390          Vardas390           	9	5	3	2	4	4.3
Pavarde888          Vardas888           	2	3	8	6	4	4.3
Pavarde872          Vardas872           	10	4	7	4	3	4.3
Pavarde555          Vardas555           	4	2	9	4	4	4.3
Pavarde386          Vardas386           	9	6	8	3	3	4.4
Pavarde251          Vardas251           	7	7	4	8	3	4.4
Pavarde73           Vardas73            	8	10	10	4	2	4.4
Pavarde193          Vardas193           	6	2	8	10	3	4.4
Pavarde127          Vardas127           	6	8	3	3	4	4.4
Pavarde678          Vardas678           	2	10	4	10	3	4.4
Pavarde11           Vardas11            	9	6	5	6	3	4.4
Pavarde219          Vardas219           	8	1	8	3	4	4.4
Pavarde221          Vardas221           	5	5	9	1	4	4.4
Pavarde646          Vardas646           	1	3	7	3	5	4.4
Pavarde807          Vardas807           	8	9	10	5	2	4.4
Pavarde822          Vardas822           	8	10	8	6	2	4.4
Pavarde349          Vardas349           	2	9	8	1	4	4.4
Pavarde199          Vardas199           	5	7	7	7	3	4.4
Pavarde186          Vardas186           	3	2	7	3	5	4.5
Pavarde707          Vardas707           	10	4	6	7	3	4.5
Pavarde914          Vardas914           	4	4	5	8	4	4.5
Pavarde608          Vardas608           	8	5	3	5	4	4.5
Pavarde784          Vardas784           	3	3	6	3	5	4.5
Pavarde895          Vardas895           	6	9	8	4	3	4.5
Pavarde966          Vardas966           	4	2	3	6	5	4.5
Pavarde683          Vardas683           	8	10	5	4	3	4.5
Pavarde34           Vardas34            	1	9	7	10	3	4.5
Pavarde395          Vardas395           	8	1	8	4	4	4.5
Pavarde844          Vardas844           	5	10	2	4	4	4.5
Pavarde297          Vardas297           	4	8	8	1	4	4.5
Pavarde234          Vardas234           	6	4	4	7	4	4.5
Pavarde645          Vardas645           	9	10	5	9	2	4.5
Pavarde944          Vardas944           	10	10	9	10	1	4.5
Pavarde647          Vardas647           	10	2	10	5	3	4.5
Pavarde389          Vardas389           	5	4	10	2	4	4.5
Pavarde472          Vardas472           	5	7	9	1	4	4.6
Pavarde661          Vardas661           	1	1	4	4	6	4.6
Pavarde391          Vardas391           	7	5	2	2	5	4.6
Pavarde892          Vardas892           	10	1	4	1	5	4.6
Pavarde401          Vardas401           	7	6	2	1	5	4.6
Pavarde195          Vardas195           	9	4	9	6	3	4.6
Pavarde920          Vardas920           	6	4	2	4	5	4.6
Pavarde100          Vardas100           	9	1	4	2	5	4.6
Pavarde770          Vardas770           	5	3	6	8	4	4.6
Pavarde499          Vardas499           	8	6	9	5	3	4.6
Pavarde379          Vardas379           	6	6	6	4	4	4.6
Pavarde269          Vardas269           	4	1	6	5	5	4.6
Pavarde971          Vardas971           	9	3	7	3	4	4.6
Pavarde233          Vardas233           	5	10	10	9	2	4.6
Pavarde547          Vardas547           	9	3	6	4	4	4.6
Pavarde40           Vardas40            	5	5	2	10	4	4.6
Pavarde897          Vardas897           	5	5	3	9	4	4.6
Pavarde453          Vardas453           	2	6	10	5	4	4.7
Pavarde728          Vardas728           	4	8	8	3	4	4.7
Pavarde925          Vardas925           	5	8	6	10	3	4.7
Pavarde245          Vardas245           	4	1	5	1	6	4.7
Pavarde673          Vardas673           	7	5	8	3	4	4.7
Pavarde306          Vardas306           	7	1	8	7	4	4.7
Pavarde244          Vardas244           	1	10	8	10	3	4.7
Pavarde719          Vardas719           	4	6	10	3	4	4.7
Pavarde311          Vardas311           	1	9	4	9	4	4.7
Pavarde919          Vardas919           	3	8	6	6	4	4.7
Pavarde913          Vardas913           	1	5	1	4	6	4.7
Pavarde590          Vardas590           	6	1	2	8	5	4.7
Pavarde203          Vardas203           	4	5	10	4	4	4.7
Pavarde202          Vardas202           	7	5	4	1	5	4.7
Pavarde898          Vardas898           	5	10	6	8	3	4.7
Pavarde943          Vardas943           	5	1	3	2	6	4.7
Pavarde141          Vardas141           	4	4	3	6	5	4.7
Pavarde853          Vardas853           	6	3	10	10	3	4.7
Pavarde624          Vardas624           	4	2	8	9	4	4.7
Pavarde579          Vardas579           	6	4	3	10	4	4.7
Pavarde917          Vardas917           	3	5	1	3	6	4.8
Pavarde71           Vardas71            	6	9	2	1	5	4.8
Pavarde137          Vardas137           	2	10	4	8	4	4.8
Pavarde969          Vardas969           	10	2	8	4	4	4.8
Pavarde509          Vardas509           	8	4	3	9	4	4.8
Pavarde937          Vardas937           	8	3	10	9	3	4.8
Pavarde387          Vardas387           	5	2	7	10	4	4.8
Pavarde615          Vardas615           	10	6	10	10	2	4.8
Pavarde323          Vardas323           	1	10	10	3	4	4.8
Pavarde161          Vardas161           	6	8	1	3	5	4.8
Pavarde520          Vardas520           	4	8	7	5	4	4.8
Pavarde679          Vardas679           	8	10	9	9	2	4.8
Pavarde329          Vardas329           	1	10	5	2	5	4.8
Pavarde758          Vardas758           	2	10	5	1	5	4.8
Pavarde611          Vardas611           	5	8	1	10	4	4.8
Pavarde422          Vardas422           	9	10	7	10	2	4.8
Pavarde433          Vardas433           	5	2	7	5	5	4.9
Pavarde3            Vardas3             	6	4	2	1	6	4.9
Pavarde699          Vardas699           	1	2	2	2	7	4.9
Pavarde905          Vardas905           	2	3	4	4	6	4.9
Pavarde447          Vardas447           	10	4	9	8	3	4.9
Pavarde45           Vardas45            	6	8	1	4	5	4.9
Pavarde875          Vardas875           	2	4	1	6	6	4.9
Pavarde672          Vardas672           	4	8	3	10	4	4.9
Pavarde749          Vardas749           	7	7	3	8	4	4.9
Pavarde518          Vardas518           	1	2	8	2	6	4.9
Pavarde162          Vardas162           	1	6	7	5	5	4.9
Pavarde464          Vardas464           	8	5	10	8	3	4.9
Pavarde348          Vardas348           	5	3	4	7	5	4.9
Pavarde891          Vardas891           	6	10	8	1	4	4.9
Pavarde837          Vardas837           	8	1	1	9	5	4.9
Pavarde107          Vardas107           	5	3	4	2	6	5
Pavarde826          Vardas826           	5	3	6	6	5	5
Pavarde733          Vardas733           	9	1	1	9	5	5
Pavarde302          Vardas302           	10	7	1	8	4	5
Pavarde777          Vardas777           	3	2	8	7	5	5
Pavarde280          Vardas280           	1	3	8	2	6	5
Pavarde726          Vardas726           	9	1	8	2	5	5
Pavarde531          Vardas531           	6	9	2	3	5	5
Pavarde523          Vardas523           	8	9	7	8	3	5
Pavarde852          Vardas852           	5	8	7	6	4	5
Pavarde605          Vardas605           	3	8	3	6	5	5
Pavarde164          Vardas164           	2	4	5	9	5	5
Pavarde847          Vardas847           	6	3	4	7	5	5
Pavarde503          Vardas503           	9	8	3	6	4	5
Pavarde946          Vardas946           	1	9	5	6	5	5.1
Pavarde855          Vardas855           	9	7	1	10	4	5.1
Pavarde856          Vardas856           	4	5	6	6	5	5.1
Pavarde657          Vardas657           	3	6	5	7	5	5.1
Pavarde857          Vardas857           	7	3	2	3	6	5.1
Pavarde862          Vardas862           	1	2	10	8	5	5.1
Pavarde968          Vardas968           	5	9	6	1	5	5.1
Pavarde44           Vardas44            	4	9	4	4	5	5.1
Pavarde982          Vardas982           	4	3	1	1	7	5.1
Pavarde781          Vardas781           	4	4	1	6	6	5.1
Pavarde39           Vardas39            	4	9	5	9	4	5.1
Pavarde313          Vardas313           	3	4	9	5	5	5.1
Pavarde316          Vardas316           	6	5	7	3	5	5.1
Pavarde400          Vardas400           	2	7	2	10	5	5.1
Pavarde355          Vardas355           	2	7	8	4	5	5.1
Pavarde796          Vardas796           	9	10	7	7	3	5.1
Pavarde368          Vardas368           	1	4	1	9	6	5.1
Pavarde515          Vardas515           	9	4	4	10	4	5.1
Pavarde736          Vardas736           	6	1	2	7	6	5.2
Pavarde709          Vardas709           	8	3	10	1	5	5.2
Pavarde459          Vardas459           	1	3	9	9	5	5.2
Pavarde81           Vardas81            	5	8	1	8	5	5.2
Pavarde802          Vardas802           	1	6	3	6	6	5.2
Pavarde68           Vardas68            	3	4	8	7	5	5.2
Pavarde628          Vardas628           	7	7	6	2	5	5.2
Pavarde385          Vardas385           	1	5	6	4	6	5.2
Pavarde435          Vardas435           	1	5	9	1	6	5.2
Pavarde584          Vardas584           	10	2	6	10	4	5.2
Pavarde331          Vardas331           	2	1	10	3	6	5.2
Pavarde990          Vardas990           	6	4	2	4	6	5.2
Pavarde581          Vardas581           	7	4	6	5	5	5.2
Pavarde318          Vardas318           	4	5	3	10	5	5.2
Pavarde425          Vardas425           	7	9	3	9	4	5.2
Pavarde138          Vardas138           	5	5	1	5	6	5.2
Pavarde308          Vardas308           	1	6	4	5	6	5.2
Pavarde786          Vardas786           	3	6	5	3	6	5.3
Pavarde877          Vardas877           	1	2	4	4	7	5.3
Pavarde405          Vardas405           	9	9	2	3	5	5.3
Pavarde663          Vardas663           	2	2	5	2	7	5.3
Pavarde866          Vardas866           	10	2	8	9	4	5.3
Pavarde636          Vardas636           	10	1	6	6	5	5.3
Pavarde211          Vardas211           	4	10	8	1	5	5.3
Pavarde210          Vardas210           	6	9	5	9	4	5.3
Pavarde983          Vardas983           	7	2	1	1	7	5.3
Pavarde196          Vardas196           	8	4	9	2	5	5.3
Pavarde52           Vardas52            	2	6	2	1	7	5.3
Pavarde985          Vardas985           	7	10	9	9	3	5.3
Pavarde263          Vardas263           	10	5	9	5	4	5.3
Pavarde358          Vardas358           	5	9	2	1	6	5.3
Pavarde243          Vardas243           	8	9	7	5	4	5.3
Pavarde346          Vardas346           	9	8	10	8	3	5.3
Pavarde373          Vardas373           	3	1	6	2	7	5.4
Pavarde92           Vardas92            	8	4	1	5	6	5.4
Pavarde656          Vardas656           	2	9	3	4	6	5.4
Pavarde887          Vardas887           	5	9	9	1	5	5.4
Pavarde495          Vardas495           	6	6	3	9	5	5.4
Pavarde748          Vardas748           	8	2	5	3	6	5.4
Pavarde416          Vardas416           	8	10	8	4	4	5.4
Pavarde133          Vardas133           	5	1	8	10	5	5.4
Pavarde123          Vardas123           	7	7	3	1	6	5.4
Pavarde525          Vardas525           	9	10	7	10	3	5.4
Pavarde973          Vardas973           	4	9	3	2	6	5.4
Pavarde904          Vardas904           	6	6	7	5	5	5.4
Pavarde573          Vardas573           	2	4	3	3	7	5.4
Pavarde457          Vardas457           	8	1	10	5	5	5.4
Pavarde93           Vardas93            	3	7	10	4	5	5.4
Pavarde143          Vardas143           	4	5	3	6	6	5.4
Pavarde356          Vardas356           	1	2	2	8	7	5.5
Pavarde512          Vardas512           	1	10	4	10	5	5.5
Pavarde771          Vardas771           	2	10	1	6	6	5.5
Pavarde883          Vardas883           	10	3	6	6	5	5.5
Pavarde489          Vardas489           	6	6	4	3	6	5.5
Pavarde761          Vardas761           	9	6	8	2	5	5.5
Pavarde870          Vardas870           	7	2	2	2	7	5.5
Pavarde23           Vardas23            	1	7	5	6	6	5.5
Pavarde825          Vardas825           	1	7	1	4	7	5.5
Pavarde811          Vardas811           	3	1	2	7	7	5.5
Pavarde797          Vardas797           	8	2	8	7	5	5.5
Pavarde102          Vardas102           	4	9	2	4	6	5.5
Pavarde264          Vardas264           	4	1	5	9	6	5.5
Pavarde690          Vardas690           	2	5	10	3	6	5.6
Pavarde421          Vardas421           	8	6	9	3	5	5.6
Pavarde375          Vardas375           	2	5	8	5	6	5.6
Pavarde294          Vardas294           	7	1	8	10	5	5.6
Pavarde974          Vardas974           	6	10	9	7	4	5.6
Pavarde427          Vardas427           	7	3	5	5	6	5.6
Pavarde694          Vardas694           	4	1	10	5	6	5.6
Pavarde889          Vardas889           	4	2	4	10	6	5.6
Pavarde686          Vardas686           	10	6	1	9	5	5.6
Pavarde326          Vardas326           	10	3	8	5	5	5.6
Pavarde967          Vardas967           	4	2	9	5	6	5.6
