Pavarde             Vardas              	ND1	ND2	ND3	ND4	ND5	ND6	Egz		Galutinis
Vardas503           Pavarde503          	1	7	2	8	5	9	1		2.7
Vardas892           Pavarde892          	3	1	5	7	8	8	1		2.7
Vardas37            Pavarde37           	1	8	7	5	1	10	1		2.7
Vardas752           Pavarde752          	5	4	2	9	2	1	2		2.7
Vardas971           Pavarde971          	7	9	1	9	3	3	1		2.7
Vardas297           Pavarde297          	4	4	6	9	9	1	1		2.8
Vardas897           Pavarde897          	10	3	7	8	4	1	1		2.8
Vardas76            Pavarde76           	4	5	7	5	6	6	1		2.8
Vardas496           Pavarde496          	8	4	2	3	6	1	2		2.8
Vardas597           Pavarde597          	2	1	9	8	1	3	2		2.8
Vardas15            Pavarde15           	6	8	2	6	10	1	1		2.8
Vardas794           Pavarde794          	4	7	3	9	7	3	1		2.8
Vardas909           Pavarde909          	4	1	9	9	7	4	1		2.9
Vardas623           Pavarde623          	5	8	5	2	4	1	2		2.9
Vardas386           Pavarde386          	8	8	1	3	4	1	2		2.9
Vardas641           Pavarde641          	5	4	2	3	2	9	2		2.9
Vardas485           Pavarde485          	7	9	2	5	4	7	1		2.9
Vardas959           Pavarde959          	4	1	6	6	7	1	2		2.9
Vardas733           Pavarde733          	9	8	10	1	1	5	1		2.9
Vardas24            Pavarde24           	4	4	1	5	1	10	2		2.9
Vardas181           Pavarde181          	10	1	7	8	4	4	1		2.9
Vardas986           Pavarde986          	7	1	9	7	3	8	1		2.9
Vardas401           Pavarde401          	3	1	6	6	6	4	2		2.9
Vardas311           Pavarde311          	4	9	3	9	3	7	1		2.9
Vardas84            Pavarde84           	5	5	3	5	8	9	1		2.9
Vardas220           Pavarde220          	1	9	1	9	5	1	2		2.9
Vardas632           Pavarde632          	9	7	1	1	2	6	2		2.9
Vardas442           Pavarde442          	7	9	8	4	3	4	1		2.9
Vardas869           Pavarde869          	8	8	3	4	2	10	1		2.9
Vardas756           Pavarde756          	6	2	5	5	5	3	2		2.9
Vardas52            Pavarde52           	4	3	10	10	3	5	1		2.9
Vardas561           Pavarde561          	4	5	10	7	1	8	1		2.9
Vardas5             Pavarde5            	6	5	4	1	2	9	2		3
Vardas230           Pavarde230          	7	9	2	1	6	2	2		3
Vardas840           Pavarde840          	10	8	3	3	1	2	2		3
Vardas384           Pavarde384          	10	6	2	4	6	8	1		3
Vardas233           Pavarde233          	10	2	1	8	10	5	1		3
Vardas461           Pavarde461          	7	2	5	1	6	6	2		3
Vardas453           Pavarde453          	1	3	3	8	2	1	3		3
Vardas330           Pavarde330          	4	4	7	6	10	5	1		3
Vardas726           Pavarde726          	6	6	10	2	6	6	1		3
Vardas82            Pavarde82           	6	2	3	1	3	4	3		3.1
Vardas369           Pavarde369          	7	7	3	9	4	7	1		3.1
Vardas422           Pavarde422          	8	6	6	2	3	3	2		3.1
Vardas257           Pavarde257          	10	5	3	3	5	2	2		3.1
Vardas373           Pavarde373          	6	1	6	5	9	10	1		3.1
Vardas304           Pavarde304          	1	10	6	7	2	2	2		3.1
Vardas406           Pavarde406          	6	4	7	9	6	5	1		3.1
Vardas320           Pavarde320          	8	4	5	1	1	1	3		3.1
Vardas682           Pavarde682          	8	6	10	5	1	8	1		3.1
Vardas345           Pavarde345          	8	9	4	5	10	3	1		3.2
Vardas965           Pavarde965          	5	7	3	1	2	3	3		3.2
Vardas362           Pavarde362          	10	8	3	6	8	4	1		3.2
Vardas31            Pavarde31           	9	7	9	5	4	5	1		3.2
Vardas163           Pavarde163          	1	5	3	7	7	7	2		3.2
Vardas48            Pavarde48           	8	10	10	7	3	1	1		3.2
Vardas375           Pavarde375          	1	6	1	10	4	8	2		3.2
Vardas303           Pavarde303          	8	3	6	4	2	7	2		3.2
Vardas493           Pavarde493          	10	1	9	5	4	10	1		3.2
Vardas392           Pavarde392          	2	4	2	3	9	10	2		3.2
Vardas93            Pavarde93           	7	1	10	4	5	4	2		3.3
Vardas718           Pavarde718          	7	10	5	4	8	6	1		3.3
Vardas737           Pavarde737          	5	4	5	3	2	3	3		3.3
Vardas698           Pavarde698          	5	3	8	7	1	7	2		3.3
Vardas449           Pavarde449          	5	4	5	1	7	9	2		3.3
Vardas851           Pavarde851          	8	6	3	2	1	2	3		3.3
Vardas455           Pavarde455          	8	2	2	9	5	5	2		3.3
Vardas563           Pavarde563          	4	2	2	7	6	10	2		3.3
Vardas387           Pavarde387          	1	1	7	9	1	3	3		3.3
Vardas945           Pavarde945          	3	9	4	9	4	2	2		3.3
Vardas651           Pavarde651          	2	9	1	5	10	4	2		3.3
Vardas654           Pavarde654          	8	3	6	2	8	4	2		3.3
Vardas44            Pavarde44           	8	10	6	4	10	2	1		3.3
Vardas55            Pavarde55           	1	10	7	6	10	6	1		3.3
Vardas237           Pavarde237          	9	6	2	3	10	1	2		3.3
Vardas275           Pavarde275          	3	9	2	9	9	8	1		3.3
Vardas245           Pavarde245          	1	3	8	1	9	1	3		3.3
Vardas633           Pavarde633          	5	1	3	4	9	1	3		3.3
Vardas60            Pavarde60           	10	2	1	5	1	4	3		3.3
Vardas259           Pavarde259          	6	4	7	3	2	10	2		3.3
Vardas494           Pavarde494          	8	6	9	8	1	9	1		3.3
Vardas780           Pavarde780          	8	4	7	5	2	6	2		3.3
Vardas796           Pavarde796          	5	7	5	9	2	4	2		3.3
Vardas613           Pavarde613          	9	2	4	4	3	10	2		3.3
Vardas19            Pavarde19           	7	7	5	5	3	5	2		3.3
Vardas860           Pavarde860          	8	8	1	7	8	9	1		3.3
Vardas571           Pavarde571          	5	8	7	6	5	10	1		3.3
Vardas719           Pavarde719          	3	5	7	6	10	2	2		3.4
Vardas743           Pavarde743          	8	4	1	7	2	2	3		3.4
Vardas351           Pavarde351          	1	9	4	1	8	10	2		3.4
Vardas166           Pavarde166          	2	7	7	8	4	5	2		3.4
Vardas256           Pavarde256          	3	6	6	9	5	4	2		3.4
Vardas605           Pavarde605          	2	3	7	3	8	10	2		3.4
Vardas193           Pavarde193          	9	9	9	5	2	8	1		3.4
Vardas122           Pavarde122          	5	6	9	9	10	3	1		3.4
Vardas253           Pavarde253          	5	9	7	10	7	4	1		3.4
Vardas497           Pavarde497          	6	6	10	3	7	1	2		3.4
Vardas400           Pavarde400          	9	8	7	2	7	9	1		3.4
Vardas818           Pavarde818          	4	10	3	1	4	2	3		3.4
Vardas770           Pavarde770          	10	3	3	3	6	8	2		3.4
Vardas716           Pavarde716          	9	7	10	2	2	4	2		3.5
Vardas338           Pavarde338          	10	10	4	7	3	9	1		3.5
Vardas951           Pavarde951          	7	5	4	7	10	1	2		3.5
Vardas787           Pavarde787          	3	10	5	8	7	1	2		3.5
Vardas211           Pavarde211          	3	5	1	4	4	8	3		3.5
Vardas430           Pavarde430          	9	10	1	5	4	5	2		3.5
Vardas288           Pavarde288          	5	2	1	6	9	2	3		3.5
Vardas129           Pavarde129          	8	1	8	6	4	7	2		3.5
Vardas832           Pavarde832          	7	4	7	7	3	6	2		3.5
Vardas167           Pavarde167          	4	10	9	5	6	10	1		3.5
Vardas495           Pavarde495          	4	1	6	1	9	5	3		3.5
Vardas173           Pavarde173          	5	1	9	7	3	1	3		3.5
Vardas333           Pavarde333          	10	8	8	2	1	6	2		3.5
Vardas179           Pavarde179          	4	6	5	4	4	3	3		3.5
Vardas979           Pavarde979          	7	2	9	2	5	10	2		3.5
Vardas413           Pavarde413          	7	8	1	6	7	6	2		3.5
Vardas526           Pavarde526          	2	7	7	6	8	5	2		3.5
Vardas603           Pavarde603          	8	8	4	10	4	10	1		3.5
Vardas108           Pavarde108          	4	10	7	5	8	10	1		3.5
Vardas715           Pavarde715          	6	4	4	6	1	5	3		3.5
Vardas910           Pavarde910          	1	3	6	8	8	9	2		3.5
Vardas385           Pavarde385          	5	8	5	5	10	2	2		3.5
Vardas683           Pavarde683          	4	2	6	8	8	7	2		3.5
Vardas218           Pavarde218          	6	2	9	5	10	3	2		3.5
Vardas222           Pavarde222          	6	4	1	8	8	8	2		3.5
Vardas866           Pavarde866          	4	3	1	5	8	5	3		3.5
Vardas857           Pavarde857          	1	1	10	6	3	6	3		3.6
Vardas109           Pavarde109          	4	5	1	2	5	1	4		3.6
Vardas441           Pavarde441          	2	4	7	2	4	8	3		3.6
Vardas646           Pavarde646          	3	9	2	7	5	1	3		3.6
Vardas481           Pavarde481          	8	5	2	4	6	2	3		3.6
Vardas614           Pavarde614          	2	6	7	5	7	9	2		3.6
Vardas367           Pavarde367          	8	2	3	1	6	7	3		3.6
Vardas947           Pavarde947          	1	10	9	3	7	6	2		3.6
Vardas709           Pavarde709          	2	7	4	7	6	1	3		3.6
Vardas268           Pavarde268          	5	3	9	6	10	3	2		3.6
Vardas271           Pavarde271          	1	7	5	2	2	10	3		3.6
Vardas593           Pavarde593          	2	8	5	2	3	7	3		3.6
Vardas527           Pavarde527          	2	10	10	9	9	6	1		3.7
Vardas190           Pavarde190          	7	6	5	10	7	2	2		3.7
Vardas669           Pavarde669          	7	5	10	2	1	3	3		3.7
Vardas231           Pavarde231          	10	10	4	3	9	10	1		3.7
Vardas456           Pavarde456          	10	3	2	7	4	2	3		3.7
Vardas751           Pavarde751          	8	1	7	9	2	10	2		3.7
Vardas140           Pavarde140          	10	1	10	10	5	10	1		3.7
Vardas58            Pavarde58           	9	4	3	10	6	5	2		3.7
Vardas755           Pavarde755          	2	9	10	3	3	10	2		3.7
Vardas976           Pavarde976          	2	10	4	8	3	1	3		3.7
Vardas124           Pavarde124          	10	2	6	9	1	9	2		3.7
Vardas353           Pavarde353          	5	7	4	2	5	6	3		3.7
Vardas208           Pavarde208          	7	7	1	3	10	1	3		3.7
Vardas911           Pavarde911          	1	5	4	2	7	10	3		3.7
Vardas611           Pavarde611          	3	4	2	4	7	9	3		3.7
Vardas398           Pavarde398          	4	4	2	5	9	5	3		3.7
Vardas151           Pavarde151          	1	9	5	8	1	5	3		3.7
Vardas202           Pavarde202          	1	5	7	4	2	1	4		3.7
Vardas596           Pavarde596          	9	9	1	10	4	5	2		3.7
Vardas927           Pavarde927          	9	5	9	8	3	4	2		3.7
Vardas881           Pavarde881          	9	7	1	2	9	10	2		3.7
Vardas874           Pavarde874          	2	1	4	4	7	2	4		3.7
Vardas436           Pavarde436          	1	5	8	7	4	4	3		3.7
Vardas939           Pavarde939          	7	7	2	2	8	3	3		3.7
Vardas25            Pavarde25           	8	9	9	10	10	2	1		3.8
Vardas862           Pavarde862          	3	10	7	1	8	1	3		3.8
Vardas956           Pavarde956          	9	8	2	10	3	7	2		3.8
Vardas470           Pavarde470          	7	9	10	6	3	4	2		3.8
Vardas357           Pavarde357          	2	2	10	1	4	2	4		3.8
Vardas749           Pavarde749          	10	5	5	10	10	8	1		3.8
Vardas912           Pavarde912          	7	10	10	7	3	2	2		3.8
Vardas529           Pavarde529          	6	3	7	8	3	3	3		3.8
Vardas999           Pavarde999          	5	3	4	9	4	5	3		3.8
Vardas196           Pavarde196          	6	2	5	10	5	2	3		3.8
Vardas371           Pavarde371          	3	8	9	3	2	5	3		3.8
Vardas54            Pavarde54           	10	7	5	7	4	6	2		3.8
Vardas525           Pavarde525          	7	6	10	9	8	8	1		3.8
Vardas326           Pavarde326          	5	9	4	3	8	2	3		3.9
Vardas334           Pavarde334          	4	6	9	6	4	2	3		3.9
Vardas410           Pavarde410          	4	6	10	6	8	6	2		3.9
Vardas467           Pavarde467          	10	9	2	6	3	1	3		3.9
Vardas492           Pavarde492          	5	8	10	4	2	2	3		3.9
Vardas301           Pavarde301          	5	9	2	4	9	2	3		3.9
Vardas997           Pavarde997          	10	7	9	1	6	7	2		3.9
Vardas360           Pavarde360          	3	2	8	7	10	1	3		3.9
Vardas263           Pavarde263          	9	10	6	9	10	5	1		3.9
Vardas675           Pavarde675          	1	2	5	7	4	3	4		3.9
Vardas551           Pavarde551          	3	6	1	1	3	8	4		3.9
Vardas705           Pavarde705          	5	3	1	5	7	1	4		3.9
Vardas491           Pavarde491          	6	1	1	4	2	8	4		3.9
Vardas921           Pavarde921          	9	5	2	6	6	4	3		3.9
Vardas391           Pavarde391          	7	4	4	3	3	2	4		3.9
Vardas918           Pavarde918          	5	6	2	7	10	2	3		3.9
Vardas97            Pavarde97           	2	6	1	6	7	1	4		3.9
Vardas907           Pavarde907          	2	1	9	5	9	6	3		3.9
Vardas294           Pavarde294          	1	3	4	6	10	8	3		3.9
Vardas779           Pavarde779          	10	4	5	8	5	9	2		3.9
Vardas785           Pavarde785          	10	3	8	2	9	9	2		3.9
Vardas962           Pavarde962          	7	7	5	2	10	10	2		3.9
Vardas234           Pavarde234          	6	9	2	6	3	6	3		3.9
Vardas112           Pavarde112          	10	8	10	8	3	2	2		3.9
Vardas998           Pavarde998          	2	2	6	8	8	6	3		3.9
Vardas721           Pavarde721          	2	7	1	2	4	7	4		3.9
Vardas543           Pavarde543          	7	4	6	5	4	6	3		3.9
Vardas816           Pavarde816          	4	5	8	6	5	4	3		3.9
Vardas475           Pavarde475          	7	9	3	10	2	2	3		4
Vardas50            Pavarde50           	3	2	3	2	10	4	4		4
Vardas318           Pavarde318          	5	1	2	4	10	2	4		4
Vardas200           Pavarde200          	7	2	5	6	10	3	3		4
Vardas164           Pavarde164          	8	5	8	6	5	10	2		4
Vardas383           Pavarde383          	9	5	9	8	6	5	2		4
Vardas302           Pavarde302          	6	3	3	5	3	4	4		4
Vardas439           Pavarde439          	8	1	8	4	8	4	3		4
Vardas936           Pavarde936          	7	4	5	9	4	4	3		4
Vardas272           Pavarde272          	4	4	2	4	9	1	4		4
Vardas865           Pavarde865          	10	10	8	1	10	3	2		4
Vardas104           Pavarde104          	7	10	2	1	6	7	3		4
Vardas730           Pavarde730          	9	1	5	2	8	8	3		4
Vardas547           Pavarde547          	9	8	10	8	1	7	2		4.1
Vardas926           Pavarde926          	6	9	2	6	10	1	3		4.1
Vardas142           Pavarde142          	5	2	2	4	2	1	5		4.1
Vardas524           Pavarde524          	7	3	4	9	10	1	3		4.1
Vardas663           Pavarde663          	1	8	3	8	4	1	4		4.1
Vardas180           Pavarde180          	3	4	1	10	10	7	3		4.1
Vardas586           Pavarde586          	8	1	8	8	5	5	3		4.1
Vardas958           Pavarde958          	1	2	5	1	5	3	5		4.1
Vardas267           Pavarde267          	8	9	7	5	8	7	2		4.1
Vardas760           Pavarde760          	1	8	8	5	5	8	3		4.1
Vardas687           Pavarde687          	9	10	1	1	6	8	3		4.1
Vardas811           Pavarde811          	9	5	9	7	5	9	2		4.1
Vardas812           Pavarde812          	10	3	5	6	1	10	3		4.1
Vardas296           Pavarde296          	9	10	7	4	7	8	2		4.2
Vardas295           Pavarde295          	8	7	5	2	5	9	3		4.2
Vardas331           Pavarde331          	6	3	9	8	9	1	3		4.2
Vardas661           Pavarde661          	8	1	7	5	9	6	3		4.2
Vardas105           Pavarde105          	5	7	2	6	4	3	4		4.2
Vardas390           Pavarde390          	9	6	3	3	1	5	4		4.2
Vardas987           Pavarde987          	4	5	7	5	6	1	4		4.3
Vardas537           Pavarde537          	9	4	2	2	10	10	3		4.3
Vardas336           Pavarde336          	4	7	2	4	4	7	4		4.3
Vardas977           Pavarde977          	9	5	2	9	10	2	3		4.3
Vardas509           Pavarde509          	9	6	7	1	8	6	3		4.3
Vardas608           Pavarde608          	8	1	3	10	3	3	4		4.3
Vardas115           Pavarde115          	8	7	5	7	5	5	3		4.3
Vardas609           Pavarde609          	1	3	1	3	4	7	5		4.3
Vardas679           Pavarde679          	5	9	4	9	1	1	4		4.3
Vardas598           Pavarde598          	8	2	5	3	1	10	4		4.3
Vardas452           Pavarde452          	4	3	9	8	1	4	4		4.3
Vardas62            Pavarde62           	5	5	2	6	10	1	4		4.3
Vardas120           Pavarde120          	3	9	5	7	9	5	3		4.3
Vardas429           Pavarde429          	6	10	5	4	6	7	3		4.3
Vardas28            Pavarde28           	3	10	3	5	3	5	4		4.3
Vardas236           Pavarde236          	5	2	8	6	10	7	3		4.3
Vardas548           Pavarde548          	2	7	10	6	6	7	3		4.3
Vardas170           Pavarde170          	1	3	9	2	2	3	5		4.3
Vardas859           Pavarde859          	9	9	9	7	3	10	2		4.3
Vardas176           Pavarde176          	3	9	4	6	1	6	4		4.3
Vardas91            Pavarde91           	3	4	8	6	3	5	4		4.3
Vardas434           Pavarde434          	2	10	10	9	1	6	3		4.3
Vardas829           Pavarde829          	7	6	9	1	5	2	4		4.4
Vardas922           Pavarde922          	6	5	5	7	5	2	4		4.4
Vardas63            Pavarde63           	1	6	9	6	7	1	4		4.4
Vardas539           Pavarde539          	7	7	9	10	7	8	2		4.4
Vardas792           Pavarde792          	8	10	10	8	7	5	2		4.4
Vardas788           Pavarde788          	1	6	1	6	1	6	5		4.4
Vardas270           Pavarde270          	9	8	2	5	5	1	4		4.4
Vardas753           Pavarde753          	7	2	3	3	3	3	5		4.4
Vardas995           Pavarde995          	3	10	6	4	6	1	4		4.4
Vardas134           Pavarde134          	9	10	3	7	5	5	3		4.4
Vardas472           Pavarde472          	2	4	9	8	5	2	4		4.4
Vardas991           Pavarde991          	8	6	5	4	10	6	3		4.4
Vardas984           Pavarde984          	4	10	1	10	9	5	3		4.4
Vardas417           Pavarde417          	4	7	2	8	1	8	4		4.4
Vardas17            Pavarde17           	10	1	1	6	4	8	4		4.4
Vardas276           Pavarde276          	6	4	4	8	6	2	4		4.4
Vardas575           Pavarde575          	7	4	2	5	2	1	5		4.4
Vardas576           Pavarde576          	10	9	9	3	8	9	2		4.4
Vardas652           Pavarde652          	3	2	6	7	8	4	4		4.4
Vardas103           Pavarde103          	1	2	2	10	1	5	5		4.4
Vardas415           Pavarde415          	8	7	6	7	5	7	3		4.5
Vardas377           Pavarde377          	7	2	2	7	3	10	4		4.5
Vardas2             Pavarde2            	2	7	3	5	8	6	4		4.5
Vardas212           Pavarde212          	7	5	7	2	7	3	4		4.5
Vardas644           Pavarde644          	5	8	7	10	3	7	3		4.5
Vardas79            Pavarde79           	8	6	3	10	8	5	3		4.5
Vardas856           Pavarde856          	5	7	7	4	7	10	3		4.5
Vardas980           Pavarde980          	2	6	3	7	1	3	5		4.5
Vardas943           Pavarde943          	8	3	1	4	1	5	5		4.5
Vardas86            Pavarde86           	3	9	8	3	4	4	4		4.5
Vardas758           Pavarde758          	2	4	3	4	4	5	5		4.5
Vardas754           Pavarde754          	7	1	3	6	1	4	5		4.5
Vardas798           Pavarde798          	3	10	6	8	4	10	3		4.5
Vardas808           Pavarde808          	6	10	10	2	4	9	3		4.5
Vardas667           Pavarde667          	3	7	9	10	3	9	3		4.5
Vardas471           Pavarde471          	5	2	9	3	10	3	4		4.5
Vardas834           Pavarde834          	6	4	3	1	8	1	5		4.5
Vardas143           Pavarde143          	10	3	7	7	4	1	4		4.5
Vardas479           Pavarde479          	9	9	8	2	10	3	3		4.5
Vardas914           Pavarde914          	10	6	1	9	7	8	3		4.5
Vardas533           Pavarde533          	8	2	9	4	9	9	3		4.5
Vardas291           Pavarde291          	7	5	7	3	5	5	4		4.5
Vardas540           Pavarde540          	7	3	9	5	7	1	4		4.5
Vardas10            Pavarde10           	5	3	1	4	3	7	5		4.5
Vardas106           Pavarde106          	6	8	9	10	5	3	3		4.5
Vardas312           Pavarde312          	6	7	7	7	2	4	4		4.6
Vardas565           Pavarde565          	7	9	10	5	2	9	3		4.6
Vardas214           Pavarde214          	8	10	9	9	1	5	3		4.6
Vardas584           Pavarde584          	3	7	8	7	9	8	3		4.6
Vardas981           Pavarde981          	3	6	3	7	5	9	4		4.6
Vardas724           Pavarde724          	3	5	2	7	10	6	4		4.6
Vardas188           Pavarde188          	9	2	3	10	7	2	4		4.6
Vardas970           Pavarde970          	9	4	7	10	8	4	3		4.6
Vardas890           Pavarde890          	6	1	3	5	9	9	4		4.6
Vardas209           Pavarde209          	5	7	10	7	4	1	4		4.7
Vardas468           Pavarde468          	6	4	1	5	7	2	5		4.7
Vardas117           Pavarde117          	6	4	7	7	7	3	4		4.7
Vardas562           Pavarde562          	10	2	4	2	7	9	4		4.7
Vardas833           Pavarde833          	7	1	8	10	6	2	4		4.7
Vardas838           Pavarde838          	3	1	10	1	9	10	4		4.7
Vardas617           Pavarde617          	4	9	9	9	5	7	3		4.7
Vardas260           Pavarde260          	2	8	1	2	2	2	6		4.7
Vardas814           Pavarde814          	5	5	5	5	10	5	4		4.7
Vardas74            Pavarde74           	5	7	7	7	2	7	4		4.7
Vardas150           Pavarde150          	9	4	5	3	7	7	4		4.7
Vardas370           Pavarde370          	5	2	1	6	8	4	5		4.7
Vardas90            Pavarde90           	3	9	5	10	5	3	4		4.7
Vardas183           Pavarde183          	1	8	6	9	4	7	4		4.7
Vardas988           Pavarde988          	9	9	3	9	2	3	4		4.7
Vardas285           Pavarde285          	5	10	3	9	2	6	4		4.7
Vardas264           Pavarde264          	3	8	6	7	3	8	4		4.7
Vardas249           Pavarde249          	3	5	6	5	3	4	5		4.7
Vardas354           Pavarde354          	4	2	4	9	7	9	4		4.7
Vardas226           Pavarde226          	8	4	8	6	2	7	4		4.7
Vardas73            Pavarde73           	7	2	5	10	2	10	4		4.8
Vardas871           Pavarde871          	3	4	7	10	3	9	4		4.8
Vardas534           Pavarde534          	2	7	1	4	3	1	6		4.8
Vardas968           Pavarde968          	8	4	9	8	7	9	3		4.8
Vardas680           Pavarde680          	6	8	1	5	6	1	5		4.8
Vardas356           Pavarde356          	9	6	7	1	2	2	5		4.8
Vardas915           Pavarde915          	6	1	7	6	6	10	4		4.8
Vardas469           Pavarde469          	1	5	1	5	10	5	5		4.8
Vardas372           Pavarde372          	4	6	7	9	5	5	4		4.8
Vardas363           Pavarde363          	2	2	7	5	10	1	5		4.8
Vardas933           Pavarde933          	10	5	3	5	4	1	5		4.9
Vardas23            Pavarde23           	2	9	1	4	1	2	6		4.9
Vardas423           Pavarde423          	10	7	7	10	3	9	3		4.9
Vardas408           Pavarde408          	1	1	2	8	4	3	6		4.9
Vardas99            Pavarde99           	5	8	1	3	6	5	5		4.9
Vardas113           Pavarde113          	6	5	1	8	8	9	4		4.9
Vardas154           Pavarde154          	3	6	9	4	2	4	5		4.9
Vardas177           Pavarde177          	2	4	8	10	8	5	4		4.9
Vardas277           Pavarde277          	4	8	8	7	1	9	4		4.9
Vardas674           Pavarde674          	1	1	8	6	2	1	6		4.9
Vardas660           Pavarde660          	1	10	1	4	9	3	5		4.9
Vardas490           Pavarde490          	4	6	9	1	2	6	5		4.9
Vardas528           Pavarde528          	7	9	9	5	5	3	4		4.9
Vardas501           Pavarde501          	10	4	5	5	6	8	4		4.9
Vardas541           Pavarde541          	4	5	4	4	6	6	5		4.9
Vardas572           Pavarde572          	5	10	4	3	9	7	4		4.9
Vardas600           Pavarde600          	2	7	7	5	3	5	5		4.9
Vardas606           Pavarde606          	7	4	2	1	6	9	5		4.9
Vardas690           Pavarde690          	9	2	1	8	9	9	4		4.9
Vardas691           Pavarde691          	2	2	8	3	3	2	6		4.9
Vardas735           Pavarde735          	5	3	1	2	6	3	6		4.9
Vardas427           Pavarde427          	2	7	6	1	7	6	5		4.9
Vardas837           Pavarde837          	3	1	6	7	9	3	5		4.9
Vardas861           Pavarde861          	3	4	9	7	5	10	4		4.9
Vardas348           Pavarde348          	2	9	8	10	10	8	3		4.9
Vardas121           Pavarde121          	1	2	6	6	8	6	5		4.9
